subject,repetition,g,swap,SD,nTrials
13,3,0.0185637827220894,0.000344434093888725,14.5256362953618,98
13,4,0.00119043468544062,0.00146830528452464,13.7140400956961,98
13,5,0.0219326951373374,0.000155682127295264,16.1359993730639,92
13,6,0.00275934004785515,0.000471481254985096,13.8388550748518,98
14,1,0.204116366721791,0.000613858093650671,43.3408402811639,101
14,2,0.0561760494230459,0.000743844252514329,26.747130367172,100
14,3,0.152462106885072,0.000620120958720024,28.8105951769477,97
14,4,0.0649265911427139,0.000360440280715545,22.9607775906151,99
14,5,0.344861327903667,0.00197923437754072,23.5818422344884,91
14,6,0.0837840024854801,0.000285803095741501,22.5512884678178,99
15,1,0.368125315265488,3.18484262624768e-05,22.9121223319532,92
15,2,0.00222850578126323,0.00158098326114077,21.7281260388503,94
15,3,0.0817394786387244,0.000434666981750008,17.8874540142122,91
15,4,0.0495580557939165,6.77304910141853e-05,17.3048054048356,93
15,5,0.0651460729379064,0.000914524033109741,21.1544776015843,93
15,6,0.0694704197760617,0.000299534189251426,19.8203044599303,94
16,1,0.433233378198673,0.000200949466491429,23.1025848718987,106
16,2,0.00131409125229989,0.000387455163237154,23.9990201299772,107
16,3,0.0691788882505513,0.000555429217692328,22.7231571019553,101
16,4,0.0015561211946662,0.000540728800359482,22.0078026302412,106
16,5,0.112148336946384,0.000366264753528696,21.8390324911605,99
16,6,0.0329025263330553,0.00019630514723531,20.5143485986558,102
17,1,0.342140288281776,0.000369368964477429,26.9653273697933,97
17,2,0.00821012660588017,0.000333113858627027,19.8171760318004,103
17,3,0.0104126701412411,0.000570006771875106,17.0687237839717,99
17,4,0.00278008008381686,0.00113555738130895,19.0933242224107,102
17,5,0.0011754693857808,0.000981691425080653,17.745112374691,100
17,6,0.00260449707233893,0.000873667424184229,15.4338453714247,97
18,1,0.414893712511163,0.000260227670575084,17.5053406158257,89
18,2,0.00307356226086899,0.00102507873862639,22.8750459644389,103
18,3,0.00110759787096609,0.000339792726066071,18.7685856234628,100
18,4,0.000109629593941224,0.000706412599827259,16.6608307345702,102
18,5,0.00156191806606018,0.000286363139169517,15.7854859500741,101
18,6,0.000105861667819479,0.00066119746698988,16.2437549019527,103
19,1,0.203380626043893,0.000345722050411979,25.9255797796949,94
19,2,0.091835197970675,0.000721537437241363,24.1182698780964,91
19,3,0.121597178239068,0.000381429841941218,16.6102182282158,86
19,4,0.118302969616881,0.000488217954403871,21.5933258855916,89
19,5,0.223926151391225,0.000162126449674394,15.822664315612,86
19,6,0.0527180548707201,0.00012525114376297,19.8417550787795,89
20,1,0.40955868307919,0.000316699588440376,22.4749736963876,103
20,2,0.071102051073333,0.00018688216500917,17.8695722035703,105
20,3,0.00312152213095004,0.00232279656861134,15.5208359964083,101
20,4,0.00220200797389055,0.00135464718975966,15.2401490240581,100
20,5,0.0144305601346386,0.00050168581827827,13.5864475528287,98
20,6,0.00115711260941376,0.000441493058732679,12.7325117758702,102
21,1,0.231598102123706,0.00158658541767242,20.4099668603798,100
