subject,repetition,context,probe,g,swap,SD,nTrials
37,1,1,1,0.282366909534816,0.000505780570304201,18.5430021886575,45
37,5,0,1,0.000721650128402793,0.00494104388704706,28.9812838301531,43
37,5,1,1,0.00356883168439485,0.00426317179520098,26.339278835838,45
37,1,0,2,0.0755489223407363,0.00232344722209098,19.8988942010217,30
37,1,1,2,0.340245264740061,0.00139958126372451,17.6861808429551,30
37,5,0,2,0.084417210430748,0.00166443166575941,15.8446389016009,30
37,5,1,2,0.00367110337293713,0.00264388248140226,16.6065530538199,30
38,1,0,1,0.26019688364759,0.00107948122778486,24.3029691774639,41
38,1,1,1,0.269876875940722,0.000331516254041132,27.3985366616973,41
38,5,0,1,0.0837152084619355,0.000885929386159284,19.782443136689,45
38,5,1,1,0.0876058536587724,0.000978518023672264,20.0387311403647,44
38,1,0,2,0.36630117394493,0.00232596217755279,17.1750112695985,26
38,1,1,2,0.316308244624578,0.00506768485236992,37.0777294623315,27
38,5,0,2,0.0545466819212676,0.00211797355290108,24.4252135173734,30
38,5,1,2,0.123265559951184,0.00055283727229527,22.8332473635028,29
39,1,0,1,0.479320798810002,0.0056082669237977,31.568679357402,45
39,1,1,1,0.240473422884656,0.00396114647319189,39.3077841971417,45
39,5,0,1,0.287776784974022,0.000280612718879536,20.9548147610036,45
39,5,1,1,0.242266741065972,0.00365384948332006,34.668157435025,44
39,1,0,2,0.088358294634313,0.00323933994936426,68.4286419531984,30
39,1,1,2,0.344754933116765,0.0033749835761768,26.8763309834118,30
39,5,0,2,0.0838963869908995,0.000451908827105298,32.9488494360496,29
39,5,1,2,0.169080286107217,0.00775557484623565,28.4322962702214,30
40,1,0,1,0.138838989812406,0.010836633141589,36.1410782774198,44
40,1,1,1,0.179320992159414,0.000867266103584442,32.9042320687528,45
40,5,0,1,0.225062482273505,0.00154313610485337,32.515560769692,45
40,5,1,1,0.00870140822623197,5.25424545741449e-05,38.1181141052288,44
40,1,0,2,0.314474774028421,0.00396327436407779,22.2428366910114,30
40,1,1,2,0.194991206230532,0.00884844113052373,27.156094197918,29
40,5,0,2,0.238880427177954,5.80482683500833e-05,19.0981555344267,29
40,5,1,2,0.119189273550496,0.00222439873166787,33.0964916759868,30
