subject,test,repetition,g,SD,nTrials
58,1,3,2.5541957060355e-05,13.5590056290459,80
58,1,4,0.0312860508749262,13.9327573506413,80
58,1,5,0.000600587859579278,16.2929514556585,80
58,1,6,0.0162250144086328,14.361727782734,80
58,2,1,0.000200556397195781,20.4632986178514,79
58,2,2,0.0247250500588559,16.6659909337871,80
58,2,3,0.000263135496762797,14.5616445215311,80
58,2,4,0.000454640610171536,14.0203207307674,79
58,2,5,0.00116379813348534,16.7551357624853,79
58,2,6,0.0160186796031409,13.784113377991,80
59,1,1,0.13794616932644,26.6334908240664,74
59,1,2,0.125213626714925,18.241437397931,75
59,1,3,0.0647158269641109,23.2453522004477,75
59,1,4,0.0825200435705997,23.3724626952694,73
59,1,5,0.0196403658792929,18.2842532409903,79
59,1,6,0.1401532882749,20.6810211336824,76
59,2,1,0.138351957194298,32.2254180826372,78
