subject,test,repetition,context,g,SD,nTrials
52,2,1,1,0.000471676966666598,26.3404852676955,40
52,2,5,0,0.000126901361918112,18.6826462109495,37
52,2,5,1,0.000259191113116068,13.9033055531073,37
53,1,1,0,0.000366744785952704,33.8032534600266,40
53,1,1,1,1.25877581178238e-05,18.1047441958516,39
53,1,5,0,0.0248635527620741,16.3750031866357,44
53,1,5,1,0.000334019396581754,17.4247043194089,35
53,2,1,0,0.133239784682893,28.2247874106618,40
53,2,1,1,0.125174295574656,20.4896143586994,40
53,2,5,0,0.0389928483390035,17.0526287657219,42
53,2,5,1,0.00145993597062402,18.8980710088605,36
54,1,1,0,0.00166902857485744,18.4587225621523,33
54,1,1,1,0.0931718128385829,16.7480999760441,34
54,1,5,0,0.000341024973140857,15.683890007136,36
54,1,5,1,0.000857594486532203,15.7796600544563,41
54,2,1,0,5.6629070877408e-05,21.4424206404448,32
54,2,1,1,0.0816344326034833,18.059691747862,36
54,2,5,0,0.000265233858017027,12.7480931333069,37
54,2,5,1,0.000947200008700493,13.3249228131686,40
55,1,1,0,0.0418520782718521,13.9893973425378,38
55,1,1,1,0.000318226852002191,19.3714595572129,40
55,1,5,0,0.000583701894204525,12.2793499269554,39
55,1,5,1,0.0373721021098585,13.3563324932678,39
55,2,1,0,0.0448115847032232,24.5168615555358,40
55,2,1,1,0.165974904668045,19.4997172848897,40
55,2,5,0,0.000838784919391997,18.6207107631771,41
55,2,5,1,0.000114807809302002,22.3002014715094,39
56,1,1,0,0.163788545257794,14.9622557149567,41
56,1,1,1,0.161399400303888,21.5752592898132,37
56,1,5,0,0.105505623232408,16.3745160600257,38
56,1,5,1,0.0363202697977592,21.5993995597097,41
56,2,1,0,0.510377768347217,21.5774298384388,42
56,2,1,1,0.418815384851054,20.6209604362294,35
56,2,5,0,0.122795942698814,25.5559369338213,37
56,2,5,1,0.0605789486986431,26.8365550028753,40
57,1,1,0,0.0867992753934336,23.701349000002,38
57,1,1,1,0.000407567840534792,25.5479710877455,41
57,1,5,0,0.000198141439578005,21.0826691100105,38
57,1,5,1,0.0699089675449217,21.7899701612592,42
57,2,1,0,0.397787159160099,43.1448350631894,39
57,2,1,1,0.268847263382448,52.1911678547568,41
57,2,5,0,0.0689909513636289,21.2887625282469,37
57,2,5,1,0.000332273378885597,25.9394722905152,42
58,1,1,0,0.000469976775164267,26.6570319951913,39
58,1,1,1,0.00200740366935691,19.0365997530499,41
58,1,5,0,0.000117411123614849,12.651720889446,39
58,1,5,1,0.000400152737854018,18.9100307298114,41
58,2,1,0,0.0293097946208992,17.1630309429624,39
58,2,1,1,0.000872543997458657,20.9785778676371,40
58,2,5,0,0.000268884714272298,16.9970477558159,39
58,2,5,1,0.000794027211064675,16.5538780441574,40
59,1,1,0,0.117173333734416,23.0599485397281,38
59,1,1,1,0.138766801920869,31.8490624330809,36
59,1,5,0,0.00021332822541275,18.374347361985,39
59,1,5,1,0.0357437658642843,18.425659829868,40
59,2,1,0,0.0649820026743657,37.5804907988532,39
59,2,1,1,0.253276448301081,22.7317289007811,39
59,2,5,0,0.0776360809097342,18.0784784634589,38
59,2,5,1,0.000404609121841972,20.2830368067715,38
60,1,1,0,0.000153353644739463,23.4952919255602,38
60,1,1,1,0.000298981680474158,25.4479987541037,41
60,1,5,0,0.000478767426261783,16.697116881531,41
60,1,5,1,0.0025038112195762,19.9226166985514,39
60,2,1,0,0.150181823555394,19.8451558978418,39
60,2,1,1,0.162390348049173,18.7469665165563,41
60,2,5,0,0.000335718229376916,19.0404729858102,41
60,2,5,1,0.000308841290427551,16.756291251856,39
61,1,1,0,0.0279805627658044,43.5843236710621,40
61,1,1,1,0.112417960617602,24.4342317269962,40
61,1,5,0,0.170559878240688,21.4213363111082,39
